Levels,Forecast_Methods,Target_Service_Level,Senario,Achieved_Service_Level,Holding_Costs,Backlogging_Costs,Fill_Rate
10,LGBM_MinT,99%,TDFP_OR,0.5024715363350981,2.6806104476081054,594.131740770595,0.8495410616402158
11,LGBM_MinT,90%,TDFP_OR,0.40661653313342383,0.7644206799803369,31.097319989014796,0.6787834785150235
11,LGBM_MinT,95%,TDFP_OR,0.4524824688812882,0.9568755161331729,58.84186062980549,0.7055843228997476
11,LGBM_MinT,99%,TDFP_OR,0.5360656889846788,1.392702025315782,247.4612693253933,0.7533637299206877
12,LGBM_MinT,90%,TDFP_OR,0.5025781286604507,0.5220006367814127,11.963265891790245,0.5229286263182084
12,LGBM_MinT,95%,TDFP_OR,0.5266281684861547,0.594731792909675,23.498271812266374,0.5456626171589235
12,LGBM_MinT,99%,TDFP_OR,0.5708171297380874,0.7456668456403813,106.69614836413702,0.5876045050806283
10,LGBM,90%,WLS_VAR_OR,0.5764536381951927,3.243436784133895,51.7781709769471,0.8786619748698091
10,LGBM,95%,WLS_VAR_OR,0.678102890877571,4.893642078037774,82.3628516209536,0.9104459063768721
10,LGBM,99%,WLS_VAR_OR,0.8141545237314343,8.816540180933304,247.686291533424,0.9501646444370454
11,LGBM,90%,WLS_VAR_OR,0.5987247965765512,1.6153901002988764,21.36146965230861,0.7991597357478276
11,LGBM,95%,WLS_VAR_OR,0.6694896062721578,2.1786482507029894,36.36476823896746,0.8370772392063069
11,LGBM,99%,WLS_VAR_OR,0.7749652501210389,3.444732098048503,124.87628031912013,0.8913169822120425
12,LGBM,90%,WLS_VAR_OR,0.6493288197535492,0.9011026305448131,8.432267858911512,0.6750429292731684
12,LGBM,95%,WLS_VAR_OR,0.6894497024785645,1.0875612346651167,15.5131125966249,0.7137933677483485
12,LGBM,99%,WLS_VAR_OR,0.7542636930141029,1.4771651606508582,62.410176577575385,0.7749178940093232
10,LGBM_MinT,90%,WLS_VAR_OR,0.5567867684955256,3.1132219169511473,52.37687075417814,0.873138246506905
10,LGBM_MinT,95%,WLS_VAR_OR,0.6589396991988005,4.681586411007249,83.92216140544889,0.9052552146463791
10,LGBM_MinT,99%,WLS_VAR_OR,0.7996181417795062,8.416908459948411,255.28714131623835,0.946347378975978
11,LGBM_MinT,90%,WLS_VAR_OR,0.5883857314654298,1.5725946763670982,21.546126086442268,0.7917698231418344
11,LGBM_MinT,95%,WLS_VAR_OR,0.6578659669837105,2.1124031565429515,36.92590810985669,0.8299173434083025
11,LGBM_MinT,99%,WLS_VAR_OR,0.7637671992378454,3.3244947921910826,128.47098939942572,0.8851847880717261
12,LGBM_MinT,90%,WLS_VAR_OR,0.6394977275921848,0.8712985297561135,8.439213157459552,0.6555323851720962
12,LGBM_MinT,95%,WLS_VAR_OR,0.6788220962376424,1.0513685486323932,15.591414531417389,0.6949058609927651
12,LGBM_MinT,99%,WLS_VAR_OR,0.7433127957644193,1.4268748279852215,63.22684513021528,0.7578037199487304
